# Trace file for OSIRIS LSS R2500V mode
#
 wavelength               xi                        x                         y
# um                       arcsec                    mm                        mm
4.557273166843973100e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -2.425263157894736921e+01
4.638675629400643152e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -2.101894736842105260e+01
4.720742255929211706e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.778526315789473600e+01
4.803473046429680982e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.455157894736842117e+01
4.886868000902050424e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.131789473684210634e+01
4.970927119346319478e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -8.084210526315789735e+00
5.055650401762490365e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -4.850526315789474907e+00
5.141037848150560308e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.616842105263159413e+00
5.227089458510530973e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 1.616842105263156082e+00
5.313805232842402360e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 4.850526315789474907e+00
5.401185171146173358e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 8.084210526315786183e+00
5.489229273421846189e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 1.131789473684209923e+01
5.577937539669417522e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 1.455157894736841762e+01
5.667309969888888466e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 1.778526315789473600e+01
5.757346564080261242e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 2.101894736842104905e+01
5.848047322243533630e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 2.425263157894736210e+01
5.939412244378706740e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 2.748631578947367871e+01
6.031441330485780572e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 3.071999999999999886e+01
4.393630036360505198e-01 -1.470526315789473983e+02 -1.736842105263158231e+01 -3.071999999999999886e+01
4.473680590878542085e-01 -1.470526315789473983e+02 -1.736842105263158231e+01 -2.748631578947368226e+01
