# Trace file for OSIRIS LSS R1000B mode
#
 wavelength               xi                        x                         y
# um                       arcsec                    mm                        mm
5.363514024124742541e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.616842105263159413e+00
5.589558395028266791e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.616842105263156082e+00
5.820705549207049190e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 4.850526315789474907e+00
6.056955486661088628e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 8.084210526315786183e+00
6.298308207390385105e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.131789473684209923e+01
6.544763711394939731e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.455157894736841762e+01
6.796321998674752507e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.778526315789473600e+01
7.052983069229822322e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 2.101894736842104905e+01
7.314746923060150285e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 2.425263157894736210e+01
7.581613560165735288e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 2.748631578947367871e+01
7.853582980546578440e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 3.071999999999999886e+01
3.554328175378909660e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -3.071999999999999886e+01
3.734320670483351479e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -2.748631578947368226e+01
3.919415948863049781e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -2.425263157894736921e+01
4.109614010518006788e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -2.101894736842105260e+01
4.304914855448220834e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.778526315789473600e+01
4.505318483653692474e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.455157894736842117e+01
4.710824895134421708e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.131789473684210634e+01
4.921434089890408536e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -8.084210526315789735e+00
5.137146067921652959e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -4.850526315789474907e+00
5.357960829228154420e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.616842105263159413e+00
5.583878373809915141e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 1.616842105263156082e+00
5.814898701666932901e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 4.850526315789474907e+00
6.051021812799207700e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 8.084210526315786183e+00
6.292247707206739538e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 1.131789473684209923e+01
6.538576384889530635e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 1.455157894736841762e+01
6.790007845847578771e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 1.778526315789473600e+01
7.046542090080883947e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 2.101894736842104905e+01
7.308179117589447271e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 2.425263157894736210e+01
7.574918928373267635e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 2.748631578947367871e+01
7.846761522432346148e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 3.071999999999999886e+01
