# Trace file for OSIRIS LSS R2500I mode
#
 wavelength               xi                        x                         y
# um                       arcsec                    mm                        mm
1.014240665096625138e+00 -2.540000000000000000e+02 -3.000000000000000000e+01 3.071999999999999886e+01
7.294709678098248995e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -3.071999999999999886e+01
7.434918736176927556e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.748631578947368226e+01
7.576157220527481861e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.425263157894736921e+01
7.718425131149911911e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -2.101894736842105260e+01
7.861722468044217704e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.778526315789473600e+01
8.006049231210401462e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.455157894736842117e+01
8.151405420648458744e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.131789473684210634e+01
8.297791036358395100e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -8.084210526315789735e+00
8.445206078340201650e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -4.850526315789474907e+00
8.593650546593888384e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 -1.616842105263159413e+00
8.743124441119451973e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.616842105263156082e+00
8.893627761916889085e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 4.850526315789474907e+00
9.045160508986203052e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 8.084210526315786183e+00
9.197722682327390542e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.131789473684209923e+01
9.351314281940457107e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.455157894736841762e+01
9.505935307825399416e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 1.778526315789473600e+01
9.661585759982216359e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.101894736842104905e+01
9.818265638410906826e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.425263157894736210e+01
9.975974943111476367e-01 -2.272631578947368496e+02 -2.684210526315789380e+01 2.748631578947367871e+01
1.013471367408392165e+00 -2.272631578947368496e+02 -2.684210526315789380e+01 3.071999999999999886e+01
