# Trace file for OSIRIS LSS R1000R mode
#
 wavelength               xi                        x                         y
# um                       arcsec                    mm                        mm
6.496633979786546886e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.131789473684210634e+01
6.762248120259963802e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -8.084210526315789735e+00
7.032783050718179885e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -4.850526315789474907e+00
7.308238771161192915e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 -1.616842105263159413e+00
7.588615281589004002e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.616842105263156082e+00
7.873912582001612037e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 4.850526315789474907e+00
8.164130672399018129e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 8.084210526315786183e+00
8.459269552781221169e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.131789473684209923e+01
8.759329223148223376e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.455157894736841762e+01
9.064309683500023640e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 1.778526315789473600e+01
9.374210933836620852e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 2.101894736842104905e+01
9.689032974158016120e-01 -2.005263157894736992e+02 -2.368421052631579116e+01 2.425263157894736210e+01
1.000877580446420945e+00 -2.005263157894736992e+02 -2.368421052631579116e+01 2.748631578947367871e+01
1.033343942475520194e+00 -2.005263157894736992e+02 -2.368421052631579116e+01 3.071999999999999886e+01
4.995594430509524009e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -3.071999999999999886e+01
5.231458537980866463e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -2.748631578947368226e+01
5.472243435437006420e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -2.425263157894736921e+01
5.717949122877943324e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -2.101894736842105260e+01
5.968575600303678286e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.778526315789473600e+01
6.224122867714211305e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.455157894736842117e+01
6.484590925109542381e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.131789473684210634e+01
6.749979772489671515e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -8.084210526315789735e+00
7.020289409854597595e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -4.850526315789474907e+00
7.295519837204320623e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 -1.616842105263159413e+00
7.575671054538845040e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 1.616842105263156082e+00
7.860743061858164182e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 4.850526315789474907e+00
8.150735859162281383e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 8.084210526315786183e+00
8.445649446451196640e-01 -1.737894736842105203e+02 -2.052631578947368496e+01 1.131789473684209923e+01
