# description : ELT telescope throughput vs. wavelength for the M1->M5.
# author : R. Holzloehner
# source : See ESO-306070 and ESO-293390 for background.
# date_created : 2018-09-18
# date_modified : 2021-12-01
# type : TERCurve
# status : design
# action : reflection
# outer : 37.3
# outer_unit : m
# inner : 11.1
# inner_unit : m
# wavelength_unit : um
# notes :
#   - Baseline coatings.
#   - Dust contaminated coatings.
#   - 4nm roughness modeled.
#   - Partly based on measured data by Tom Schneider (Gemini).
#   - Reflection is for the combined M1-M5 system, not for individual mirrors
#   - Reflection reduced for contamination by 11.7 per cent as in ESO-253082_4, sect 4.11
#   - Emissivity is calculated from ESO-253082_4, sect 4.12.2
# changes :
#   - 2019-11-06 (KL) Converted from .xlsx to .dat file, added ScopeSim meta data
#   - 2020-07-09 (KL) Added inner and outer dimensions to meta, for use with MICADO-Sci
#   - 2020-08-17 (KL) Added emissivity column according to ESO-253082_4, sect 4.12.2
#   - 2021-12-01 (OC) Reflectivity reduced by 11.7 per cent
#
wavelength  reflection  emissivity
     1.630      0.8167      0.1951
     1.635      0.8166      0.1952
     1.640      0.8160      0.1959
     1.645      0.8164      0.1954
     1.650      0.8145      0.1976
     1.655      0.8169      0.1949
     1.660      0.8156      0.1963
     1.665      0.8148      0.1972
     1.670      0.8136      0.1986
     1.675      0.8172      0.1945
     1.680      0.8142      0.1979
     1.685      0.8130      0.1993
     1.690      0.8147      0.1973
     1.695      0.8153      0.1967
     1.700      0.8122      0.2002
     1.705      0.8144      0.1977
     1.710      0.8122      0.2002
     1.715      0.8132      0.1990
     1.720      0.8141      0.1980
     1.725      0.8130      0.1993
     1.730      0.8141      0.1980
     1.735      0.8147      0.1974
     1.740      0.8126      0.1997
     1.745      0.8137      0.1985
     1.750      0.8146      0.1975
     1.755      0.8146      0.1975
     1.760      0.8147      0.1974
     1.765      0.8147      0.1974
     1.770      0.8147      0.1973
     1.775      0.8169      0.1949
     1.780      0.8170      0.1948
     1.785      0.8160      0.1959
     1.790      0.8162      0.1956
     1.795      0.8178      0.1938
     1.800      0.8142      0.1979
     1.805      0.8162      0.1956
     1.810      0.8171      0.1946
     1.815      0.8181      0.1935
     1.820      0.8185      0.1931
     1.825      0.8200      0.1914
     1.830      0.8187      0.1928
     1.835      0.8176      0.1941
     1.840      0.8180      0.1936
     1.845      0.8185      0.1930
     1.850      0.8222      0.1888
     1.855      0.8207      0.1905
     1.860      0.8183      0.1933
     1.865      0.8196      0.1918
     1.870      0.8197      0.1917
     1.875      0.8185      0.1930
     1.880      0.8207      0.1906
     1.885      0.8210      0.1902
     1.890      0.8207      0.1906
     1.895      0.8209      0.1903
     1.900      0.8209      0.1903
     1.905      0.8181      0.1935
     1.910      0.8220      0.1891
     1.915      0.8230      0.1879
     1.920      0.8207      0.1906
     1.925      0.8215      0.1897
     1.930      0.8218      0.1893
     1.935      0.8238      0.1870
     1.940      0.8220      0.1891
     1.945      0.8256      0.1850
     1.950      0.8230      0.1880
     1.955      0.8238      0.1870
     1.960      0.8246      0.1861
     1.965      0.8238      0.1871
     1.970      0.8254      0.1852
     1.975      0.8230      0.1880
     1.980      0.8243      0.1865
     1.985      0.8245      0.1863
     1.990      0.8245      0.1863
     1.995      0.8245      0.1862
     2.000      0.8261      0.1844
     2.005      0.8253      0.1853
     2.010      0.8266      0.1839
     2.015      0.8265      0.1840
     2.020      0.8275      0.1828
     2.025      0.8275      0.1828
     2.030      0.8279      0.1824
     2.035      0.8285      0.1817
     2.040      0.8279      0.1824
     2.045      0.8280      0.1823
     2.050      0.8307      0.1792
     2.055      0.8284      0.1818
     2.060      0.8297      0.1804
     2.065      0.8305      0.1795
     2.070      0.8304      0.1796
     2.075      0.8297      0.1804
     2.080      0.8328      0.1769
     2.085      0.8290      0.1812
     2.090      0.8324      0.1773
     2.095      0.8325      0.1772
     2.100      0.8320      0.1778
     2.105      0.8317      0.1781
     2.110      0.8332      0.1764
     2.115      0.8331      0.1765
     2.120      0.8336      0.1760
     2.125      0.8342      0.1753
     2.130      0.8345      0.1749
     2.135      0.8342      0.1753
     2.140      0.8346      0.1748
     2.145      0.8355      0.1738
     2.150      0.8340      0.1755
     2.155      0.8362      0.1730
     2.160      0.8356      0.1737
     2.165      0.8367      0.1724
     2.170      0.8352      0.1741
     2.175      0.8373      0.1717
     2.180      0.8355      0.1738
     2.185      0.8376      0.1714
     2.190      0.8354      0.1739
     2.195      0.8369      0.1722
     2.200      0.8364      0.1728
     2.205      0.8373      0.1717
     2.210      0.8381      0.1709
     2.215      0.8404      0.1682
     2.220      0.8383      0.1706
     2.225      0.8401      0.1686
     2.230      0.8392      0.1696
     2.235      0.8389      0.1699
     2.240      0.8368      0.1723
     2.245      0.8399      0.1688
     2.250      0.8423      0.1661
     2.255      0.8461      0.1618
     2.260      0.8466      0.1612
     2.265      0.8561      0.1505
     2.270      0.8531      0.1539
     2.275      0.8483      0.1593
     2.280      0.8441      0.1641
     2.285      0.8381      0.1709
     2.290      0.8400      0.1687
     2.295      0.8407      0.1679
     2.300      0.8424      0.1660
     2.305      0.8407      0.1679
     2.310      0.8414      0.1671
     2.315      0.8400      0.1687
     2.320      0.8417      0.1668
     2.325      0.8431      0.1652
     2.330      0.8420      0.1664
     2.335      0.8446      0.1635
     2.340      0.8424      0.1660
     2.345      0.8424      0.1660
     2.350      0.8446      0.1635
     2.355      0.8428      0.1655
     2.360      0.8447      0.1634
     2.365      0.8442      0.1639
     2.370      0.8451      0.1629
     2.375      0.8467      0.1611
     2.380      0.8439      0.1643
     2.385      0.8458      0.1621
     2.390      0.8436      0.1646
     2.395      0.8441      0.1640
     2.400      0.8421      0.1663
     2.405      0.8422      0.1662
     2.410      0.8464      0.1614
     2.415      0.8460      0.1619
     2.420      0.8435      0.1647
     2.425      0.8421      0.1663
     2.430      0.8456      0.1624
     2.435      0.8449      0.1632
     2.440      0.8447      0.1634
     2.445      0.8466      0.1612
     2.450      0.8475      0.1602
     2.455      0.8465      0.1613
     2.460      0.8451      0.1629
     2.465      0.8469      0.1609
     2.470      0.8478      0.1599
     2.475      0.8472      0.1605
     2.480      0.8487      0.1589
     2.485      0.8467      0.1611
     2.490      0.8498      0.1576
     2.495      0.8470      0.1608
     2.500      0.8461      0.1618
    24.000      0.8567      0.1498
