# author: Kieran Leschinski
# source: https://stsynphot.readthedocs.io/en/latest/stsynphot/data_hst.html
# date_created: 2019-11-19
# date_modified: 2019-11-19
# status: measured
# orig_filename: wfc3_ir_secondary_001_syn.fits
# wavelength_unit: Angstrom
 wavelength    reflection
     2840.0    0.83844864 
     2850.0     0.8386567 
     2860.0    0.83886546 
     2870.0     0.8390734 
     2880.0    0.83928066 
     2890.0     0.8394865 
     2900.0    0.83969295 
     2910.0     0.8398993 
     2920.0    0.84010565 
     2930.0     0.8403099 
     2940.0      0.840512 
     2950.0      0.840712 
     2960.0    0.84090984 
     2970.0     0.8411055 
     2980.0     0.8412971 
     2990.0     0.8414858 
     3000.0     0.8416724 
     3010.0    0.84185624 
     3020.0    0.84203726 
     3030.0    0.84221405 
     3040.0     0.8423867 
     3050.0     0.8425559 
     3060.0    0.84272355 
     3070.0     0.8428899 
     3080.0     0.8430541 
     3090.0     0.8432156 
     3100.0     0.8433742 
     3110.0     0.8435308 
     3120.0    0.84368587 
     3130.0     0.8438396 
     3140.0    0.84399194 
     3150.0     0.8441442 
     3160.0    0.84429514 
     3170.0     0.8444439 
     3180.0     0.8445913 
     3190.0    0.84473795 
     3200.0    0.84488326 
     3210.0     0.8450285 
     3220.0     0.8451737 
     3230.0     0.8453196 
     3240.0    0.84546477 
     3250.0     0.8456106 
     3260.0     0.8457565 
     3270.0     0.8459022 
     3280.0    0.84604865 
     3290.0    0.84619576 
     3300.0     0.8463435 
     3310.0    0.84649265 
     3320.0    0.84664387 
     3330.0     0.8467957 
     3340.0    0.84694815 
     3350.0     0.8471013 
     3360.0    0.84725505 
     3370.0     0.8474109 
     3380.0    0.84756947 
     3390.0    0.84773135 
     3400.0    0.84789467 
     3410.0    0.84805864 
     3420.0     0.8482246 
     3430.0    0.84839463 
     3440.0    0.84856874 
     3450.0    0.84874624 
     3460.0    0.84892577 
     3470.0     0.8491073 
     3480.0      0.849293 
     3490.0    0.84948194 
     3500.0      0.849675 
     3510.0     0.8498722 
     3520.0    0.85007197 
     3530.0     0.8502759 
     3540.0     0.8504831 
     3550.0    0.85069376 
     3560.0      0.850907 
     3570.0    0.85112303 
     3580.0    0.85134166 
     3590.0     0.8515637 
     3600.0     0.8517884 
