# author : Kieran Leschinski
# source : skycalc website
# date_created : 2019-07-24
# date_modified : 2019-07-24
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# action : transmission
# wavelength_unit : nm
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2019-07-24 (KL) Created file
#
wavelength  transmission    emission
1.2420      0.9781          13056.40
1.2430      0.9777          317.4650
1.2440      0.9770          339.5600
1.2450      0.9766          403.8040
1.2460      0.9762          307.8470
1.2470      0.9750          567.3670
1.2480      0.9735          3588.240
1.2490      0.9741          307.7870
1.2500      0.9712          7000.750
1.2510      0.9687          2591.310
1.2520      0.9711          306.3100
1.2530      0.9642          3713.030
1.2540      0.9602          4322.620
1.2550      0.9669          305.6350
1.2560      0.9540          4065.990
1.2570      0.9496          4458.860
1.2580      0.9596          764.2850
1.2590      0.9385          6533.820
1.2600      0.9406          8034.080
1.2610      0.9111          11358.60
1.2620      0.9212          6069.780
1.2630      0.8808          7602.430
1.2640      0.8620          5219.580
1.2650      0.8954          1865.460
1.2660      0.8788          5306.810
1.2670      0.8880          9652.270
1.2680      0.8645          14683.70
1.2690      0.6901          35469.90
1.2700      0.8867          27393.70
1.2710      0.9168          9691.080
1.2720      0.9197          5878.110
1.2730      0.9184          10414.40
1.2740      0.9207          11265.90
1.2750      0.9355          13375.80
1.2760      0.9355          23570.10
1.2770      0.9499          7562.490
1.2780      0.9563          26311.50
1.2790      0.9622          4891.440
1.2800      0.9617          12286.70
1.2810      0.9698          16338.80
1.2820      0.9693          4921.500
1.2830      0.9763          5915.450
1.2840      0.9774          453.7480
1.2850      0.9736          3217.730
1.2860      0.9798          344.3730
1.2870      0.9756          2116.670
1.2880      0.9766          325.4150
1.2890      0.9725          1307.460
1.2900      0.9798          4269.150
1.2910      0.9812          37897.60
1.2920      0.9727          16168.80
1.2930      0.9784          508.0680
1.2940      0.9797          6355.130
1.2950      0.9786          386.5850
1.2960      0.9690          521.5760
1.2970      0.9591          2151.110
1.2980      0.9786          338.1640
1.2990      0.9735          8232.040
1.3000      0.9626          392.7840
1.3010      0.9595          848.6300
1.3020      0.9777          27036.70
1.3030      0.9570          306.1570
1.3040      0.9220          316.2200
1.3050      0.9788          11142.20
1.3060      0.9699          311.3320
1.3070      0.9176          294.3910
1.3080      0.9419          302.4550
1.3090      0.9763          31110.00
1.3100      0.9137          322.1420
1.3110      0.9329          299.1590
1.3120      0.9524          304.7450
1.3130      0.9396          9480.760
1.3140      0.8851          284.2480
1.3150      0.9182          295.4740
1.3160      0.9472          16715.00
1.3170      0.9185          293.9600
1.3180      0.9385          301.7000
1.3190      0.8852          284.7690
1.3200      0.8634          280.6580
1.3210      0.9173          5998.450
1.3220      0.9570          318.1810
1.3230      0.8549          286.5610
1.3240      0.8886          13460.20
1.3250      0.9559          327.2600
1.3260      0.9267          319.8580
1.3270      0.8996          313.1540
1.3280      0.8622          302.7230
1.3290      0.8171          288.8590
1.3300      0.8840          1553.990
1.3310      0.7707          276.4910
1.3320      0.7713          2715.580
1.3330      0.8793          1768.420
1.3340      0.7771          287.8790
1.3350      0.8717          326.7990
1.3360      0.7878          297.1840
1.3370      0.8289          315.6200
1.3380      0.8240          316.3240
1.3390      0.8172          316.0990
1.3400      0.7914          810.4260
1.3410      0.8021          315.2210
1.3420      0.8491          2404.740
1.3430      0.8304          332.6960
1.3440      0.6176          248.1790
1.3450      0.6970          283.0050
1.3460      0.6973          285.2780
1.3470      0.6576          270.9790
1.3480      0.2644          108.2600
1.3490      0.5057          210.7590
1.3500      0.4626          190.0140
1.3510      0.3828          334.6090
1.3520      0.3300          131.8070
1.3530      0.2561          463.8940
1.3540      0.2321          89.99510
1.3550      0.0760          28.74330
1.3560      0.1277          47.72480
1.3570      0.2082          77.29770
1.3580      0.1042          37.98120
1.3590      0.1078          38.76010
1.3600      0.0888          31.44710
1.3610      0.0252          8.8937 0
1.3620      0.0012          0.7817 0
1.3630      0.1151          40.03710
1.3640      0.0805          30.52850
1.3650      0.0100          3.5650 0
1.3660      0.1633          273.1170
1.3670      0.0968          1720.310
1.3680      0.0071          2.5261 0
1.3690      0.0723          443.6730
1.3700      0.0944          28.87140
1.3710      0.0335          20.83940
1.3720      0.0516          66.29400
1.3730      0.1255          36.74500
1.3740      0.2027          58.70700
1.3750      0.2048          836.4420
1.3760      0.2269          63.47180
1.3770      0.1170          33.24460
1.3780      0.3904          106.7410
1.3790      0.1046          28.34970
1.3800      0.1861          51.03660
1.3810      0.0338          9.5146 0
1.3820      0.0812          476.6910
1.3830      0.0238          6.9401 0
1.3840      0.0672          3839.130
1.3850      0.0518          14.78420
1.3860      0.1230          67.19380
1.3870      0.3018          2813.870
1.3880      0.0217          6.6628 0
1.3890      0.3784          236.7790
1.3900      0.3085          1184.460
1.3910      0.3243          2076.110
1.3920      0.1270          37.96450
1.3930      0.2081          65.01130
1.3940      0.2583          96.02630
1.3950      0.0181          53.43600
1.3960      0.0334          11.02470
1.3970      0.1423          43.85350
1.3980      0.4393          385.8660
1.3990      0.3486          5102.900
1.4000      0.0382          24.24920
1.4010      0.0201          6.9092 0
1.4020      0.2909          15854.30
1.4030      0.3462          111.5480
1.4040      0.1903          110.6110
1.4050      0.0329          11.14540
1.4060      0.4831          1931.860
1.4070      0.0488          195.1910
1.4080      0.3727          123.8900
1.4090      0.1653          15364.10
1.4100      0.1892          6903.390
1.4110      0.3199          2082.010
1.4120      0.3106          106.3110
1.4130      0.6343          29486.70
1.4140      0.1768          60.49550
1.4150      0.1162          40.16020
1.4160      0.5951          23793.20
1.4170      0.5067          178.1100
1.4180      0.4146          146.3000
1.4190      0.1308          35787.10
1.4200      0.3329          118.5160
1.4210      0.4245          152.4390
1.4220      0.6025          217.3030
1.4230      0.3028          1107.430
1.4240      0.3987          145.0460
1.4250      0.5973          219.2660
1.4260      0.4273          156.9100
1.4270      0.5776          3053.230
1.4280      0.3441          127.4610
1.4290      0.4997          5994.130
1.4300      0.6387          240.9400
1.4310      0.5244          198.3910
1.4320      0.2145          81.31090
1.4330      0.4882          186.7210
1.4340      0.3971          13165.50
1.4350      0.5663          301.0660
1.4360      0.5260          52349.10
1.4370      0.5125          12691.40
1.4380      0.3260          178.2750
1.4390      0.5695          746.6850
1.4400      0.5123          3274.000
1.4410      0.5268          209.1030
1.4420      0.5628          362.5490
1.4430      0.5184          741.4380
1.4440      0.6506          263.1390
1.4450      0.6126          254.8450
1.4460      0.2984          174.6050
1.4470      0.5774          4667.000
1.4480      0.7964          360.0500
1.4490      0.7881          365.0520
1.4500      0.4947          331.8970
1.4510      0.2618          126.8160
1.4520      0.6414          107712.0
1.4530      0.7320          729.4010
1.4540      0.8322          432.3810
1.4550      0.6422          343.0270
1.4560      0.7983          44552.70
1.4570      0.8201          454.4420
1.4580      0.7804          441.7760
1.4590      0.8808          509.2330
1.4600      0.6736          41012.00
1.4610      0.7364          49769.60
1.4620      0.8372          476.1150
1.4630      0.5448          321.1930
1.4640      0.8896          613.6170
1.4650      0.6232          471.7280
1.4660      0.6708          8925.580
1.4670      0.5950          15109.20
1.4680      0.7311          481.9470
1.4690      0.7838          428.8780
1.4700      0.5847          59459.60
1.4710      0.3652          877.6260
1.4720      0.5826          313.1930
1.4730      0.6772          361.8840
1.4740      0.7312          11346.60
1.4750      0.9076          479.7150
1.4760      0.6573          6402.600
1.4770      0.6771          15167.40
1.4780      0.6124          36068.60
1.4790      0.8027          414.7640
1.4800      0.5893          32144.90
1.4810      0.7963          13945.50
1.4820      0.6224          316.5220
1.4830      0.8644          75967.00
1.4840      0.7919          397.4730
1.4850      0.8031          470.0970
1.4860      0.7881          27836.20
1.4870      0.6838          513.4110
1.4880      0.7475          621.4570
1.4890      0.9214          106503.0
1.4900      0.8263          827.6840
1.4910      0.8608          12826.40
1.4920      0.8639          1009.970
1.4930      0.8862          37336.00
1.4940      0.9112          1221.950
1.4950      0.8795          1248.030
1.4960      0.8854          1337.100
1.4970      0.9064          1436.230
1.4980      0.8863          1421.780
1.4990      0.9323          1513.810
1.5000      0.9519          1564.000
1.5010      0.9618          3179.900
1.5020      0.9423          1582.300
1.5030      0.9196          4431.280
1.5040      0.8488          1456.760
1.5050      0.9102          31199.80
1.5060      0.9727          283710.0
1.5070      0.9646          96437.80
1.5080      0.9545          4914.270
1.5090      0.8848          15645.50
1.5100      0.9748          1788.920
1.5110      0.9709          10835.90
1.5120      0.9690          1815.470
1.5130      0.9635          1990.000
1.5140      0.9449          2227.760
1.5150      0.9775          4219.550
1.5160      0.9653          1881.870
1.5170      0.9655          1901.070
1.5180      0.9597          2269.530
1.5190      0.9574          60754.40
1.5200      0.9737          1973.550
1.5210      0.9890          2023.050
1.5220      0.9786          1968.280
1.5230      0.9854          1973.900
1.5240      0.9864          204562.0
1.5250      0.9761          1822.720
1.5260      0.9772          1781.930
1.5270      0.9732          1783.810
1.5280      0.9872          1759.210
1.5290      0.9825          74264.50
1.5300      0.9790          1609.470
1.5310      0.9780          1564.670
1.5320      0.9858          1534.140
1.5330      0.9810          210844.0
1.5340      0.9779          1434.990
1.5350      0.9745          1386.290
1.5360      0.9784          1348.840
1.5370      0.9827          1311.390
1.5380      0.9862          1274.740
1.5390      0.9821          1252.940
1.5400      0.9798          57131.90
1.5410      0.9825          1303.750
1.5420      0.9791          1092.360
1.5430      0.9846          136692.0
1.5440      0.9837          1529.010
1.5450      0.9880          994.2070
1.5460      0.9875          5222.220
1.5470      0.9886          3299.380
1.5480      0.9894          943.8080
1.5490      0.9898          926.9740
1.5500      0.9896          16574.40
1.5510      0.9891          30000.20
1.5520      0.9880          8826.560
1.5530      0.9899          860.2650
1.5540      0.9894          63164.10
1.5550      0.9899          44220.40
1.5560      0.9903          809.7240
1.5570      0.9902          21154.20
1.5580      0.9902          852.7080
1.5590      0.9899          759.0230
1.5600      0.9900          87797.40
1.5610      0.9900          725.5740
1.5620      0.9891          708.4220
1.5630      0.9898          48375.60
1.5640      0.9892          674.5120
1.5650      0.9903          54591.00
1.5660      0.9895          77412.60
1.5670      0.9885          1018.780
1.5680      0.9840          2990.940
1.5690      0.9698          1191.160
1.5700      0.9528          35176.00
1.5710      0.9160          3743.150
1.5720      0.9135          3746.230
1.5730      0.9130          2328.340
1.5740      0.9305          4720.930
1.5750      0.9726          5597.930
1.5760      0.9650          5893.750
1.5770      0.9284          7006.620
1.5780      0.9384          9155.970
1.5790      0.9397          4106.320
1.5800      0.9427          9650.530
1.5810      0.9478          20407.00
1.5820      0.9678          1184.640
1.5830      0.9790          316678.0
1.5840      0.9812          11956.40
1.5850      0.9847          103892.0
1.5860      0.9869          5315.990
1.5870      0.9881          36296.00
1.5880      0.9899          1849.620
1.5890      0.9904          2869.830
1.5900      0.9897          12185.60
1.5910      0.9906          1814.970
1.5920      0.9893          2088.820
1.5930      0.9905          3917.620
1.5940      0.9898          872.2210
1.5950      0.9901          1269.550
