# author : Miguel Verdugo
# source : skycalc_ipy tool for standard Armazones conditions
# date_created : 2020-10-29
# date_modified : 2020-10-29
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# airmass : 1.2
# wdelta : 10
# wmin : 2500
# wmax : 15000
# season : entire year
# time : entire night
# action : transmission
# wavelength_unit : um
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2020-10-29 (MV) Created file
wavelength  transmission    emission
 6.260       0.0160  2760879358.4
 6.270       0.0010  2964686932.2
 6.280       0.0066  2879137465.5
 6.290       0.0062  2916176718.4
 6.300       0.0188  2781828800.4
 6.310       0.0137  2838424209.0
 6.320       0.0025  2990559058.7
 6.330       0.0003  3076988510.5
 6.340       0.0000  3202275146.6
 6.350       0.0000  3210904781.6
 6.360       0.0000  3191038774.0
 6.370       0.0000  3267532397.3
 6.380       0.0000  3233688683.0
 6.390       0.0000  3288703155.3
 6.400       0.0000  3295722616.1
 6.410       0.0000  3356144840.1
 6.420       0.0000  3374981152.2
 6.430       0.0000  3385329190.1
 6.440       0.0000  3378979389.9
 6.450       0.0000  3412654031.5
 6.460       0.0000  3385432810.3
 6.470       0.0000  3457306010.0
 6.480       0.0000  3490523502.2
 6.490       0.0000  3516593268.9
 6.500       0.0000  3532294433.3
 6.510       0.0000  3523958039.3
 6.520       0.0000  3570734007.2
 6.530       0.0000  3553968182.1
 6.540       0.0000  3575619084.9
 6.550       0.0000  3623455618.0
 6.560       0.0000  3645338748.9
 6.570       0.0000  3678944740.3
 6.580       0.0000  3684254019.2
 6.590       0.0000  3713094459.1
 6.600       0.0000  3714885657.8
 6.610       0.0000  3722860330.0
 6.620       0.0000  3755423419.9
 6.630       0.0000  3797725559.6
 6.640       0.0000  3823641813.7
 6.650       0.0000  3796422034.0
 6.660       0.0000  3814314447.0
 6.670       0.0000  3861999250.3
 6.680       0.0000  3886623182.5
 6.690       0.0000  3858784338.9
 6.700       0.0000  3848651357.3
 6.710       0.0000  3960807643.9
 6.720       0.0000  3965160355.0
 6.730       0.0002  3918622012.5
 6.740       0.0053  3754576520.7
 6.750       0.0003  3951591697.1
 6.760       0.0051  3800469532.0
 6.770       0.0001  4014314500.8
 6.780       0.0000  4072636751.5
 6.790       0.0000  4127920115.6
 6.800       0.0000  4081864985.4
 6.810       0.0008  3999213011.5
 6.820       0.0000  4112479004.9
 6.830       0.0000  4168622812.0
 6.840       0.0004  4071320000.7
 6.850       0.0000  4198680870.1
 6.860       0.0000  4272275858.0
 6.870       0.0000  4284001616.5
 6.880       0.0002  4194211204.1
 6.890       0.0017  4177014141.7
 6.900       0.0027  4166320305.1
 6.910       0.0000  4315529734.4
 6.920       0.0333  3873003515.1
 6.930       0.0743  3599884082.3
 6.940       0.0341  3879929754.3
 6.950       0.0033  4243075694.5
 6.960       0.0000  4470318187.9
 6.970       0.0004  4365734282.8
 6.980       0.0020  4362762848.4
 6.990       0.0006  4433408275.6
 7.000       0.0045  4361150946.8
 7.010       0.0401  3963916327.9
 7.020       0.0035  4452149611.6
 7.030       0.0021  4416912033.6
 7.040       0.0001  4577003164.1
 7.050       0.0000  4642415867.3
 7.060       0.0018  4548600290.0
 7.070       0.0704  3908913155.8
 7.080       0.0717  4015809784.6
 7.090       0.0681  4021508943.6
 7.100       0.1826  3356454360.6
 7.110       0.0524  4129264364.7
 7.120       0.0018  4680365864.5
 7.130       0.0747  3972364598.9
 7.140       0.0138  4516407901.1
 7.150       0.0000  4835556096.2
 7.160       0.0006  4764078520.1
 7.170       0.0000  4886895541.7
 7.180       0.0282  4422730828.0
 7.190       0.0375  4388815778.0
 7.200       0.0312  4470168291.8
 7.210       0.0000  4952275163.7
 7.220       0.1585  3683180134.8
 7.230       0.2671  3134422854.6
 7.240       0.2837  3113352297.0
 7.250       0.0558  4408560480.3
 7.260       0.1019  4081974896.3
 7.270       0.0104  4862381093.5
 7.280       0.0005  5041604662.2
 7.290       0.0803  4274448035.4
 7.300       0.1182  4057448321.2
 7.310       0.0940  4321257902.8
 7.320       0.3037  2993766742.3
 7.330       0.0592  4490800925.4
 7.340       0.0007  5152097186.2
 7.350       0.0426  4639938252.2
 7.360       0.1951  3689492077.9
 7.370       0.3339  2831958426.2
 7.380       0.0562  4555746762.7
 7.390       0.3653  2752514913.5
 7.400       0.2982  2882743291.2
 7.410       0.1083  4350444743.9
 7.420       0.2706  3058915158.0
 7.430       0.3796  2622805910.4
 7.440       0.4963  2237083416.4
 7.450       0.0795  4199583862.3
 7.460       0.0040  5334989856.8
 7.470       0.0003  5430817673.2
 7.480       0.0242  5012999638.9
 7.490       0.4429  2593637010.6
 7.500       0.3523  2880387605.4
 7.510       0.5074  2099983552.7
 7.520       0.4361  2703395889.9
 7.530       0.3699  2853928311.0
 7.540       0.5224  2089057607.5
 7.550       0.6512  1544657699.4
 7.560       0.2833  3357856054.5
 7.570       0.2359  3800145604.3
 7.580       0.0039  5526734540.9
 7.590       0.0721  4878462801.8
 7.600       0.2798  3483552365.0
 7.610       0.0809  4868030017.4
 7.620       0.1159  4524204505.3
 7.630       0.4340  2406114995.8
 7.640       0.3300  3276235895.1
 7.650       0.2371  3449789554.8
 7.660       0.0029  5252013216.9
 7.670       0.0224  4693856422.5
 7.680       0.0722  4202826145.3
 7.690       0.1927  3352075188.3
 7.700       0.3165  2698163846.5
 7.710       0.0545  4672649542.0
 7.720       0.2532  3085969304.4
 7.730       0.3097  2775205910.7
 7.740       0.3848  2515873766.8
 7.750       0.3562  2982618580.2
 7.760       0.1521  4351080818.9
 7.770       0.2541  3822774905.2
 7.780       0.6460  1553242115.1
 7.790       0.2241  3516143586.9
 7.800       0.3522  2649906942.8
 7.810       0.3016  3303078301.1
 7.820       0.5249  1837335601.9
 7.830       0.2753  3047066891.1
