# author : Miguel Verdugo
# source : skycalc_ipy tool for standard Armazones conditions
# date_created : 2020-10-29
# date_modified : 2020-10-29
# status : Design
# type : atmosphere:ter_curve
# pwv : 2.5
# airmass : 1.2
# wdelta : 1
# wmin : 300
# wmax : 1100
# season : entire year
# time : entire night
# action : transmission
# wavelength_unit : um
# emission_unit : ph s-1 m-2 um-1 arcsec-2
# changes :
# - 2020-10-29 (MV) Created file
wavelength  transmission    emission
0.937       0.6297        380.0
0.938       0.6831       7357.1
0.939       0.8112        731.2
0.940       0.8648       1563.8
0.941       0.8180        496.4
0.942       0.8259       2225.8
0.943       0.6929        419.0
0.944       0.7121       4714.7
0.945       0.8083        588.9
0.946       0.6576       2231.9
0.947       0.8253        508.6
0.948       0.7077       4595.1
0.949       0.8950        548.6
0.950       0.6050        367.6
0.951       0.9196       2124.9
0.952       0.7303       2925.0
0.953       0.7974        488.8
0.954       0.8486        520.9
0.955       0.8078        496.9
0.956       0.7892       1497.7
0.957       0.7609       2694.0
0.958       0.8449        523.8
0.959       0.8215        509.2
0.960       0.8544        530.6
0.961       0.8588       1001.9
0.962       0.8516       1199.9
0.963       0.8792        547.8
0.964       0.8663        540.2
0.965       0.8786        552.3
0.966       0.8920        737.1
0.967       0.8855       1350.1
0.968       0.9343       2638.3
0.969       0.9555       1445.7
0.970       0.9372       3802.6
0.971       0.9625       1947.9
0.972       0.9458       4705.5
0.973       0.9342        589.9
0.974       0.9210       2127.3
0.975       0.9116        688.0
0.976       0.9135        578.1
0.977       0.9381        594.9
0.978       0.9416        597.7
0.979       0.9351      10928.3
0.980       0.9258       4626.3
0.981       0.9650       1987.0
0.982       0.9613        640.4
0.983       0.9508        978.9
0.984       0.9730        622.6
0.985       0.9587       3171.9
0.986       0.9740        624.3
0.987       0.9725       8944.8
0.988       0.9711        636.9
0.989       0.9758        630.3
0.990       0.9722       3686.3
0.991       0.9754        627.7
0.992       0.9760       9221.5
0.993       0.9738        629.3
0.994       0.9762       3540.4
0.995       0.9768       7885.0
0.996       0.9766      10743.8
0.997       0.9767        634.4
0.998       0.9768       1803.0
0.999       0.9768        635.4
1.000       0.9760       1831.0
1.001       0.9770       1432.0
1.002       0.9743      10885.8
1.003       0.9769       3659.0
1.004       0.9762        747.6
1.005       0.9774       1816.9
1.006       0.9768       2719.1
1.007       0.9772       1931.7
1.008       0.9766        640.0
1.009       0.9762       5973.5
1.010       0.9756        772.0
1.011       0.9776       2812.1
1.012       0.9769        646.0
1.013       0.9777       7195.8
1.014       0.9777        781.6
1.015       0.9778       1193.1
1.016       0.9775       4191.8
1.017       0.9775       9776.9
1.018       0.9782       2767.9
1.019       0.9767       8325.9
1.020       0.9781        695.8
1.021       0.9781      14536.3
1.022       0.9778        650.2
1.023       0.9777       6993.6
1.024       0.9765        652.1
1.025       0.9783        654.3
1.026       0.9780        654.8
1.027       0.9782       1341.9
1.028       0.9780        656.8
1.029       0.9780      29415.6
1.030       0.9785      10230.0
1.031       0.9783       3830.5
1.032       0.9786        659.0
1.033       0.9785       1574.8
1.034       0.9786        950.1
1.035       0.9787       6290.0
1.036       0.9786       1225.2
1.037       0.9783        693.5
1.038       0.9785      18736.8
1.039       0.9785        696.9
1.040       0.9785       7448.4
1.041       0.9784        715.7
1.042       0.9785      19807.7
1.043       0.9785        894.6
1.044       0.9784        726.9
1.045       0.9783       5893.2
1.046       0.9782        708.9
1.047       0.9781      13261.0
1.048       0.9779        694.3
1.049       0.9773        686.6
1.050       0.9769        705.8
1.051       0.9771       3511.7
1.052       0.9765        663.5
1.053       0.9762       6673.5
1.054       0.9758        647.1
1.055       0.9751        639.4
1.056       0.9744        631.8
1.057       0.9735        622.7
1.058       0.9725       1722.5
1.059       0.9716       2787.9
1.060       0.9710        606.9
1.061       0.9706        589.8
1.062       0.9700        582.7
1.063       0.9693        590.5
