# name: lapalma_sky
# wavelength_unit: angstrom
# emission_unit: flam
# rescale_emission: {filter_name: "V", value: 21.9, unit: mag}
wavelength     emission
4772.455       4.178479
4776.794       4.105325
4781.134       4.145966
4785.474       4.807660
4789.813       4.902001
4794.153       4.651412
4798.492       4.505895
4802.832       4.442558
4807.171       4.982166
4811.511       4.476199
4815.851       4.674686
4820.190       4.936015
4824.530       5.648236
4828.869       5.102772
4833.209       5.737573
4837.548       5.532506
4841.888       4.669872
4846.228       4.188567
4850.567       4.018217
4854.907       4.085544
4859.246       3.729397
4863.586       4.631217
4867.925       5.074759
4872.265       4.905097
4876.604       4.928156
4880.944       5.403442
4885.284       6.245999
4889.623       5.150955
4893.963       4.205157
4898.025       4.135799
4898.302       4.720803
4906.763       4.686916
4915.500       4.568159
4924.238       4.924393
4932.975       4.426670
4941.712       5.308664
4950.450       5.022889
4959.187       5.520056
4967.925       5.278878
4976.662       4.745021
4985.399       4.275635
4994.137       4.764434
5002.875       4.706487
5011.612       5.204800
5020.349       4.658893
5029.086       4.620053
5037.824       4.671504
5046.562       5.035215
5055.299       4.846284
5064.036       5.048109
5072.774       5.373674
5081.511       4.973612
5090.249       5.053235
5098.986       4.490919
5107.724       4.911020
5116.461       4.677429
5125.198       5.104703
5133.936       5.004873
5142.673       5.100381
5151.411       5.000592
5160.148       5.421927
5168.885       5.312192
5177.623       6.186303
5186.360       6.535132
5195.098       6.466710
5203.835       5.855571
5212.572       5.277078
5221.310       5.525070
5230.047       5.776335
5238.785       6.096344
5247.522       5.834650
5256.260       5.311912
5264.997       5.224412
5273.734       5.350288
5282.472       5.629411
5291.209       5.361648
5299.947       5.746782
5308.684       6.498317
5317.421       6.620469
5326.159       6.247654
5334.896       6.391984
5343.634       5.671724
5352.371       5.754526
5361.108       5.759949
5369.846       5.810349
5378.583       5.721893
5387.321       5.539489
5396.058       6.012563
5404.796       5.704352
5413.533       5.750782
5422.271       6.009024
5431.008       6.191798
5439.745       7.278872
5448.483       8.442238
5457.220       8.542070
5465.958       7.609769
5474.695       6.777850
5483.433       6.650334
5492.170       6.478980
5500.907       6.368291
5509.645       6.515450
5518.382       6.606558
5527.120       6.614417
5535.857       7.001440
5544.594       7.890429
5553.332       20.57914
5562.069       64.71582
5570.807       72.41132
5579.544       57.49977
5588.281       15.80527
5597.019       7.734218
5605.756       7.641040
5614.494       7.443236
5623.231       7.303896
5631.969       6.945154
